"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (https://surftemp.net)"
"Time series of 5-day sea surface_temperature averaged across ocean surface within latitudes 38.00 and 40.00 and longitudes 2.00 and 4.00, in kelvin and degree Celsius. "
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1981,10,8,296.11050,22.96049694196148,0.32471,0.00000
1981,10,13,296.37611,23.22610781769157,0.32339,0.00000
1981,10,18,295.97898,22.82897706276418,0.36455,0.00000
1981,10,23,295.68136,22.531355404523765,0.41291,0.00000
1981,10,28,294.79850,21.64850296530659,0.33213,0.00000
1981,11,3,294.49025,21.34025244735267,0.35873,0.00000
1981,11,8,293.93019,20.780191062002643,0.37255,0.00000
1981,11,13,293.37647,20.226474443041127,0.32235,0.00000
1981,11,18,293.01215,19.862145204205717,0.32669,0.00000
1981,11,23,292.30560,19.155595121607178,0.37583,0.00000
1981,11,28,292.35500,19.2050014266199,0.31833,0.00000
1981,12,3,291.66035,18.510349142945756,0.26477,0.00000
1981,12,8,291.15738,18.007376058455577,0.24145,0.00000
1981,12,13,290.73346,17.58346331243348,0.31998,0.00000
1981,12,18,290.26063,17.110634684304557,0.25069,0.00000
1981,12,23,289.69825,16.548247886133026,0.24424,0.00000
1981,12,28,289.21065,16.060647699555147,0.25320,0.00000
1982,1,3,289.00249,15.852490487966236,0.21218,0.00000
1982,1,8,288.67431,15.52430893189188,0.23214,0.00000
1982,1,13,288.43356,15.283560331918522,0.34051,0.00000
1982,1,18,288.46195,15.311950091535607,0.28732,0.00000
1982,1,23,288.44701,15.297014072431978,0.27170,0.00000
1982,1,28,288.09823,14.948231396548806,0.23069,0.00000
1982,2,3,287.93906,14.789057609644829,0.22296,0.00000
1982,2,8,287.85116,14.701157439768792,0.24155,0.00000
1982,2,13,287.67620,14.52620146945435,0.42623,0.00000
1982,2,18,287.67410,14.524102387357289,0.37351,0.00000
1982,2,23,287.78334,14.633338073875734,0.28511,0.00000
1982,2,27,287.69551,14.54551413574984,0.26046,0.00000
1982,3,3,287.74528,14.595284520516259,0.29141,0.00000
1982,3,8,287.56719,14.417186998201146,0.31220,0.00000
1982,3,13,287.70874,14.558740223796121,0.31608,0.00000
1982,3,18,287.77373,14.623726879663195,0.33193,0.00000
1982,3,23,287.71024,14.560238839464944,0.52699,0.00000
1982,3,28,287.86526,14.715262618972304,0.44588,0.00000
